User-ID,Location,Age
32412,"round rock, texas, usa",44.0
32440,"dunedin, otago, new zealand",32.0
32721,"toulouse, haute-garonne, france",36.0
32773,"olathe, kansas, usa",28.0
33145,"saint-dizier, champagne-ardenne, france",30.0
33319,"calgary, alberta, canada",24.0
33517,"manchester, england, united kingdom",47.0
33656,"prescott valley, arizona, usa",53.0
33826,"cape girardeau, missouri, usa",32.0
33974,"barnhart, missouri, usa",24.0
34032,"houston, texas, usa",16.0
34521,"münsingen, bern, switzerland",32.0
34752,"bristow, virginia, usa",26.0
35050,"west columbia, south carolina, usa",33.0
35144,"galveston, texas, usa",69.0
35185,"westminster, texas, usa",56.0
35277,"ann arbor, michigan, usa",32.0
35407,"gütersloh, nordrhein-westfalen, germany",48.0
35532,"dallas, texas, usa",37.0
35818,"edmonton, alberta, canada",32.0
35857,"mentor, ohio, usa",36.0
35859,"duluth, minnesota, usa",32.0
35874,"marlow, england, united kingdom",32.0
35908,"ottawa, ontario, canada",32.0
36003,"shah alam, selangor, malaysia",26.0
36554,"carrboro, north carolina, usa",48.0
36606,"san marcos, california, usa",39.0
36715,"lexington, kentucky, usa",32.0
36836,"raleigh, north carolina, usa",56.0
36907,"dunnville, ontario, canada",39.0
37293,"whitehorse, yukon territory, canada",41.0
37311,"oroville, california, usa",32.0
37420,"phoenix, arizona, usa",32.0
37546,"málaga, málaga, spain",24.0
37567,"medway, kent, united kingdom",36.0
37644,"sudbury, massachusetts, usa",18.0
37798,"portland, oregon, usa",51.0
37950,"calgary, alberta, canada",32.0
38023,"hayward, california, usa",30.0
38273,"chandler, arizona, usa",32.0
38464,"tharston, norwich, england, united kingdom",33.0
38556,"edmonton, alberta, canada",32.0
38626,"toronto, ,",32.0
38703,"greer, south carolina, usa",49.0
38781,"kingsville, texas, usa",31.0
38802,"helsinki, uusimaa, finland",23.0
38872,"bonn, nordrhein-westfalen, germany",35.0
38899,"richmond, british columbia, canada",32.0
38933,"san diego, california, usa",37.0
38956,"crossfield, alberta, canada",34.0
39281,"morris plains, new jersey, usa",45.0
39467,"barcelona, catalunya, spain",35.0
39646,"fairless hills, pennsylvania, usa",35.0
39773,"miami, florida, usa",49.0
40553,"st. cloud, minnesota, usa",32.0
40559,"san diego, california, usa",32.0
40889,"brainerd, minnesota, usa",37.0
40943,"oklahoma city, oklahoma, usa",40.0
40992,"leatherhead, surrey, united kingdom",24.0
41088,"newton, kansas, usa",39.0
41347,"aachen, nordrhein-westfalen, germany",31.0
41698,"cologne, nordrhein-westfalen, germany",19.0
41781,"clinton twp., michigan, usa",54.0
41841,"sherwood park, alberta, canada",32.0
42458,"north york, ontario, canada",47.0
42725,"lisbon, lisbon, portugal",18.0
42803,"putney, vermont, usa",22.0
42914,"clarksville, indiana, usa",26.0
43021,"carbondale, illinois, usa",32.0
43118,"lisboa, lisboa, portugal",24.0
43163,"kalamazoo, michigan, usa",21.0
43246,"toronto, ontario, canada",36.0
43309,"doylestown, ohio, usa",42.0
43698,"mesquite, texas, usa",47.0
43920,"san diego, california, usa",29.0
44297,"christchurch, canterbury, new zealand",22.0
44588,"calgary, alberta, canada",26.0
44702,"miami, ,",16.0
44728,"florence, alabama, usa",31.0
44824,"misawa ab, aomori prefecture, japan",30.0
44842,"north wales, ,",32.0
44852,"spring, texas, usa",39.0
45418,"dingmans ferry, pennsylvania, usa",51.0
45918,"newcastle upon tyne, tyne and wear, united kingdom",32.0
46222,"oakland, california, usa",34.0
46258,"albany, california, usa",29.0
46297,"belleville, illinois, usa",35.0
46398,"san antonio, texas, usa",37.0
47118,"ellensburg, washington, usa",42.0
47316,"comanche, texas, usa",32.0
47534,"luzern, luzern, switzerland",45.0
47605,"halifax, nova scotia, canada",27.0
47819,"stuttgart/esslingen, baden-wuerttemberg, germany",32.0
47856,"ottawa, ontario, canada",32.0
47971,"toronto, ontario, canada",40.0
47975,"portland, oregon, usa",37.0
48025,"concordia, missouri, usa",43.0
48046,"central sq., new york, usa",32.0
48057,"toronto, ontario, canada",32.0
48213,"san mateo, california, usa",32.0
48494,"lemon grove, california, usa",51.0
48911,"new orleans, louisiana, usa",57.0
48975,"beaver dams, new york, usa",32.0
49028,"iowa city, iowa, usa",32.0
49109,"west jordan, utah, usa",38.0
49124,"berkeley heights, new jersey, usa",32.0
49144,"ferreries, illes balears, spain",43.0
49314,"decatur, georgia, usa",32.0
49422,"regensburg, bayern, germany",32.0
49637,"homer, alaska, usa",32.0
49661,"wauwatosa, wisconsin, usa",18.0
49889,"orem, utah, usa",32.0
50225,"fresno, california, usa",32.0
50504,"new freedom, ,",32.0
50860,"fairbanks, alaska, usa",32.0
51082,"columbus, ohio, usa",30.0
51094,"milton, ontario, canada",32.0
51350,"monroe, ,",32.0
51386,"adrian, michigan, usa",41.0
51404,"nauheim, hessen, germany",35.0
51440,"buffalo, minnesota, usa",32.0
51442,"ripon, california, usa",32.0
51475,"spartanburg, south carolina, usa",32.0
51883,"jasper, missouri, usa",31.0
52002,"bloomington, indiana, usa",32.0
52175,"johnstown, pennsylvania, usa",32.0
52199,"houston, texas, usa",47.0
52228,"arcadia, california, usa",33.0
52350,"lisboa, n/a, portugal",31.0
52352,"mayne island, british columbia, canada",70.0
52584,"livermore, california, usa",45.0
52614,"toccoa, ga., usa",33.0
52805,"redmond, washington, usa",26.0
52853,"yuba city, california, usa",61.0
52894,"albuquerque, new mexico, usa",32.0
53174,"orlando, florida, usa",29.0
53200,"ottawa, ontario, canada",32.0
53220,"fullerton, california, usa",36.0
53229,"minneapolis, minnesota, usa",35.0
53241,"hillsborough, new jersey, usa",32.0
53300,"raby, new south wales, australia",15.0
53456,"ne portland, oregon,",32.0
53614,"barreiro, barreiro, portugal",30.0
53628,"brest, bretagne, france",22.0
54206,"philadelphia, pennsylvania, usa",24.0
54511,"austin, texas, usa",50.0
54876,"hyattsville, maryland, usa",32.0
55019,"minneapolis, ,",32.0
55136,"birmingham, west midlands, united kingdom",40.0
55183,"eindhoven, noord brabant, netherlands",32.0
55187,"torrance, california, usa",48.0
55197,"narre warren, victoria,",37.0
55492,"antioch, illinois, usa",43.0
55493,"chatham, ontario, canada",35.0
55548,"chamblee, georgia, usa",32.0
55710,"escondido, california, usa",24.0
55734,"calgary, alberta, canada",37.0
55763,"bronxville, new york, usa",23.0
55779,"aubrey, texas, usa",43.0
55858,"dartmouth, nova scotia, canada",28.0
55892,"plantersville, texas, usa",45.0
55900,"&#321;ód&#378;, &#322;ódzkie, poland",29.0
56271,"leeds, england, united kingdom",22.0
56360,"wien, wien, austria",35.0
56399,"n/a, surrey, united kingdom",63.0
56447,"sturgis, michigan, usa",22.0
56554,"rural hall, north carolina, usa",39.0
56797,"huntington, new york, usa",32.0
56856,"escondido, california, usa",23.0
56959,"monroe twp., new jersey, usa",52.0
57006,"lawton, oklahoma, usa",30.0
57295,"erding, bayern, germany",32.0
58156,"whitesboro, new york, usa",58.0
58224,"lake park, georgia, usa",32.0
58258,"santa rosa, california, usa",24.0
58389,"bowling green, kentucky, usa",57.0
58497,"nantes, pays de la loire, france",26.0
58724,"woodinville, washington, usa",40.0
58898,"spokane, washington, usa",38.0
59117,"beaverton, ,",32.0
59172,"owen sound, ontario, canada",36.0
59297,"philadelphia, pennsylvania, usa",34.0
59727,"plano, texas, usa",24.0
59765,"girona, british columbia, spain",17.0
59820,"centreville, virginia, usa",24.0
59912,"pasadena, california, usa",27.0
59971,"kingwood, texas, usa",27.0
60244,"alvin, texas, usa",47.0
60277,"boston, massachusetts, usa",32.0
60337,"st. marys, georgia, usa",50.0
60707,"manchester, new hampshire, usa",38.0
60858,"sacramento, california, usa",25.0
61147,"ebensee, oberoesterreich, austria",44.0
61165,"orange park, florida, usa",38.0
61372,"palmerston  north, manawatu, new zealand",59.0
61378,"fairbanks, alaska, usa",52.0
61427,"morgan hill, california, usa",32.0
61612,"turlock, california, usa",37.0
61619,"coburg, oregon, usa",32.0
61667,"alfreton, england, united kingdom",44.0
61798,"rockville, maryland, usa",32.0
61910,"las cruces, new mexico, usa",44.0
62208,"cape town, n/a, zimbabwe",32.0
62417,"spring, texas, usa",32.0
62582,"friendswood, texas, usa",37.0
62688,"wahiawa, hawaii, usa",31.0
62716,"modesto, california, usa",53.0
62862,"new milford, connecticut, usa",47.0
62881,"milwaukee, wisconsin, usa",39.0
62891,"hi nella, new jersey, usa",27.0
62895,"chesterfield, derbyshire, united kingdom",39.0
62951,"almería, españa, spain",35.0
62968,"pittsburgh, pennsylvania, usa",23.0
63033,"la verne, california, usa",32.0
63278,"berlin, berlin, germany",32.0
63545,"makati, n/a, philippines",28.0
63595,"chesapeake, virginia,",41.0
63714,"milton keynes, england, united kingdom",29.0
63938,"northwest, iowa, usa",32.0
64003,"canoga park, california, usa",32.0
64316,"ermington, s. devon, england, united kingdom",21.0
64346,"alvin, texas, usa",32.0
64439,"genova, liguria, italy",23.0
64524,"grand junction, colorado, usa",34.0
65339,"zuerich, zuerich, switzerland",34.0
66055,"fairbanks, alaska, usa",32.0
66385,"round rock, texas, usa",32.0
66431,"bern, bern, switzerland",32.0
66619,"canazei, trentino alto adige, italy",25.0
66680,"orange park, florida, usa",67.0
66789,"san jose, california, usa",55.0
66942,"kuching, sarawak, malaysia",31.0
67034,"vero beach, florida, usa",57.0
67136,"rapid city, south dakota, usa",14.0
67250,"danville, vermont, usa",32.0
67354,"virginia beach, virginia, usa",30.0
67403,"danbury, connecticut, usa",31.0
67515,"oakland, california, usa",45.0
67663,"wrightstown, ,",47.0
67775,"chinle, arizona, usa",32.0
67840,"houston, texas, usa",50.0
67930,"colton, california,",32.0
68249,"la crosse, wisconsin, usa",50.0
68478,"san francisco, california, usa",32.0
68555,"bad axe, michigan, usa",32.0
68753,"cuneo, piemonte, italy",57.0
68760,"northampton, pennsylvania, usa",32.0
68846,"richfield, minnesota, usa",29.0
69042,"drayton valley, alberta, canada",55.0
69076,"madrid, madrid, spain",31.0
69232,"mooresville, north carolina, usa",55.0
69355,"syracuse, new york, usa",32.0
69697,"west sacramento, california, usa",24.0
69721,"minneapolis, minnesota, usa",32.0
69790,"sydney, new south wales, australia",41.0
69933,"perkasie, pennsylvania, usa",32.0
69971,"pinehurst, north carolina, usa",43.0
70222,"ottawa, ontario, canada",56.0
70238,"münchen, bavaria, germany",26.0
70573,"medina, ohio, usa",32.0
70594,"prince george, british columbia, canada",53.0
70601,"penticton, british columbia, canada",32.0
70606,"kurrajong, new south wales, australia",27.0
70639,"peel, isle of man, united kingdom",32.0
70666,"warwick, rhode island, usa",18.0
70864,"arlington, massachusetts, usa",45.0
71227,"port coquitlam, british columbia, canada",32.0
71261,"phoenix, arizona, usa",29.0
71514,"atlanta, georgia, usa",31.0
71568,"port coquitlam, british columbia, canada",28.0
71712,"valley center, kansas, usa",26.0
72204,"high point, north carolina, usa",42.0
72352,"samieira, pontevedra, spain",49.0
72451,"nottingham, england, united kingdom",51.0
72523,"grand island, new york, usa",32.0
72785,"gordonsville, virginia, usa",39.0
72992,"vanves, ile-de-france, france",44.0
73044,"sudbury, ontario, canada",32.0
73196,"little rock, arkansas, usa",35.0
73261,"washington, dc, usa",65.0
73394,"san diego, california, usa",33.0
73548,"citrus heights, california, usa",32.0
73681,"almada, setúbal, portugal",27.0
74076,"victoria, british columbia, canada",62.0
74287,"pampa, texas, usa",32.0
74413,"san jose, california, usa",32.0
74691,"birmingham, alabama, usa",49.0
74908,"almada, lisboa, portugal",18.0
75081,", illinois, usa",29.0
75107,"den haag, zuid-holland, netherlands",53.0
75149,"geneva, illinois, usa",36.0
75300,"vancouver, british columbia, canada",32.0
75491,"west point, virginia, usa",26.0
75591,"charleston, west virginia, usa",33.0
75701,"lincoln city, oregon, usa",56.0
75860,"buffalo, minnesota, usa",30.0
76019,"norwich, england, united kingdom",28.0
76352,"olympia, washington, usa",58.0
76460,"san francisco, california, usa",32.0
76499,"new york, new york, usa",32.0
76626,"london, england, united kingdom",38.0
76942,"sacramento, california, usa",25.0
76957,"baton rouge, louisiana, usa",59.0
77128,"houston, texas, usa",32.0
77306,"vancouver, british columbia, canada",32.0
77940,"melaka, melaka, malaysia",32.0
78074,"seattle, washington, usa",32.0
78229,"camp hill, pennsylvania, usa",32.0
78448,"fairfax, virginia, usa",32.0
78673,"tulsa, tasmania, usa",32.0
78761,"heide, schleswig-holstein, germany",34.0
78777,"seattle, washington, usa",32.0
78783,"chantilly, virginia, usa",49.0
78834,"honolulu, hawaii, usa",28.0
78841,"prior lake, minnesota, usa",42.0
78973,"amadora, lisboa, portugal",29.0
78983,"canberra, australian capital territory, australia",18.0
79186,"fairbanks, alaska, usa",37.0
79266,"lakeland, florida, usa",32.0
79687,"altlussheim, baden-wuerttemberg, germany",24.0
79916,"st. charles, missouri, usa",18.0
79958,"boston, massachusetts, usa",56.0
80105,"fort worth, texas, usa",39.0
80203,"olympia, wa, usa",34.0
80357,"loveland, colorado, usa",32.0
80397,"tonbridge, kent, united kingdom",36.0
80555,"warminster, wiltshire, united kingdom",20.0
80642,"st louis, missouri, usa",43.0
80683,"new castle, delaware, usa",27.0
80810,"warrensburg, missouri, usa",33.0
80826,"middleburg, virginia, usa",41.0
81120,"hamburg, hamburg, germany",42.0
81128,"düsseldorf, nordrhein-westfalen, germany",44.0
81136,"prescott, arizona, usa",41.0
81227,"glasgow, , united kingdom",20.0
81298,"savannah, georgia, usa",20.0
81597,"wichita, kansas, usa",32.0
81609,"carrollton, kentucky, usa",57.0
81682,"bluffton, south carolina,",36.0
82006,"ft mccoy, florida, usa",32.0
82068,"santa cruz, tenerife, spain",35.0
82164,"oshawa, ontario, canada",46.0
82673,"new port richey, florida, usa",23.0
82831,"nashville, tennessee, usa",21.0
82926,"vista, california, usa",32.0
83156,"richmond, virginia, usa",59.0
83288,"seattle, washington, usa",32.0
83314,"lübeck, schleswig-holstein, germany",33.0
83467,"northridge, california, usa",60.0
83496,"westfield, new jersey, usa",32.0
83707,"north dartmouth, massachusetts, usa",31.0
84126,"berlin, berlin, germany",40.0
84872,"bradenton, ,",32.0
85433,"tübingen, baden-wuerttemberg, germany",33.0
85587,"hot springs, arkansas, usa",49.0
85656,"cottage grove, oregon, usa",41.0
85701,"savannah, georgia, usa",37.0
85757,"pawtucket, rhode island, usa",40.0
85872,"sydney, new south wales, australia",36.0
85944,"dunedin, otago, new zealand",23.0
85962,"peterborough, ontario, canada",20.0
86033,"sydney, new south wales, australia",26.0
86093,"morgantown, west virginia, usa",25.0
86123,"peterborough, ontario, canada",32.0
86145,"alexandria, virginia, usa",45.0
86189,"tustin, california, usa",32.0
86202,"sydney, new south wales, australia",26.0
86231,"torino, piemonte, italy",25.0
86419,"san mateo, california, usa",48.0
86641,"rison, arkansas, usa",39.0
86741,"lewiston, maine, usa",40.0
86947,"san antonio, texas, usa",71.0
86969,"forest grove, oregon, usa",59.0
87257,"coeur d`alene, idaho, usa",32.0
87275,"hannover, niedersachsen, germany",26.0
87555,"lexington, kentucky, usa",31.0
87595,"barcelona, catalunya, spain",42.0
87690,"blythewood, south carolina, usa",36.0
87746,"wallingford, connecticut, usa",52.0
87777,"ericeira, mafra, portugal",40.0
87900,"tampa, florida, usa",27.0
88122,"jacksonville, north carolina, usa",30.0
88283,"hamburg, hamburg, germany",24.0
88369,"grand prairie, texas, usa",32.0
88620,"heemstede, noord-holland, netherlands",27.0
88677,"laval, quebec, canada",44.0
88693,"shanghai, shanghai, china",30.0
88733,"houston, texas, usa",32.0
88793,"arcata, california, usa",25.0
88879,"san diego, california, usa",45.0
88946,"boulder, colorado, usa",33.0
89093,"sydney, new south wales, australia",32.0
89307,"santa rosa, california, usa",61.0
89551,"colorado springs, colorado, usa",29.0
89869,"louisville, kentucky, usa",40.0
89870,"berkeley, california, usa",32.0
89891,"olesa de montserrat, barcelona, spain",34.0
90137,"norfolk, virginia, usa",40.0
90159,"barcelona, catalunya, spain",32.0
90192,"albuquerque, new mexico, usa",30.0
90198,"cornwall, new york,",34.0
90277,"toulouse, midi-pyrénées, france",23.0
90616,"southfield, michigan, usa",32.0
90617,"melbourne, victoria, australia",32.0
90653,"evansville, indiana, usa",29.0
91001,"greyton, western cape, south africa",32.0
91113,"chicago, illinois, usa",26.0
91184,"kuala lumpur, kuala lumpur, malaysia",31.0
91203,"glasgow, scotland, united kingdom",30.0
91266,"corbin, kentucky,",32.0
91342,"doha, doha, qatar",29.0
91576,"peel, isle of man, united kingdom",31.0
91751,"leesburg, florida, usa",32.0
91832,"miami, florida, usa",32.0
91937,"austin, texas, usa",32.0
91943,"springboro, ohio, usa",38.0
92132,"terre haute, indiana, usa",20.0
92152,"tampa, florida, usa",57.0
92547,"baker city, oregon, usa",29.0
92681,"petaluma, california, usa",32.0
92807,"toronto, ontario, canada",47.0
92861,"vancouver, british columbia, canada",32.0
92979,"fairfield, california, usa",32.0
93025,"aurora, colorado, usa",40.0
93047,"nashua, new hampshire, usa",52.0
93085,"cedar rapids, iowa, usa",34.0
93092,"sherwood park, alberta, canada",22.0
93116,"seville, ohio, usa",24.0
93245,"enfield, new hampshire, usa",32.0
93314,"san diego, ,",31.0
93363,"farmington hills, michigan, usa",30.0
93364,"calhoun, kentucky, usa",27.0
93426,"plano, texas, usa",35.0
93562,"rhinelander, wisconsin, usa",60.0
93629,"baton rouge, louisiana, usa",54.0
93672,"north haven, connecticut, usa",32.0
93691,"lancaster, pennsylvania, usa",43.0
93698,"halfmoon bay, british columbia, canada",70.0
93735,"owensboro, kentucky, usa",60.0
94004,"milwaukee, wisconsin, usa",57.0
94314,"great river, new york, usa",46.0
94347,"oakland, new jersey, usa",44.0
94396,"shoreline, washington, usa",62.0
